*****************************
Basic coeficients
*****************************
Alpha, Cd
  -16.00    ,    .9191E-01
  -8.000    ,    .3414E-01
  -6.000    ,    .2412E-01
  -4.000    ,    .1787E-01
  -2.000    ,    .1523E-01
    .000    ,    .1635E-01
   2.000    ,    .2098E-01
   4.000    ,    .2950E-01
   8.000    ,    .5651E-01
   9.000    ,    .6435E-01
   10.00    ,    .7257E-01
   12.00    ,    .9039E-01
   14.00    ,    .1033    
   16.00    ,    .1162    
   18.00    ,    .1347    
   19.00    ,    .1456    
   20.00    ,    .1570    
   21.00    ,    .1710    
   22.00    ,    .1854    
   24.00    ,    .2148    

Alpha, CL
  -16.00    ,   -1.233    
  -8.000    ,   -.6257    
  -6.000    ,   -.4306    
  -4.000    ,   -.2310    
  -2.000    ,   -.3364E-01
    .000    ,    .1633    
   2.000    ,    .3613    
   4.000    ,    .5600    
   8.000    ,    .9343    
   9.000    ,    1.015    
   10.00    ,    1.085    
   12.00    ,    1.207    
   14.00    ,    1.249    
   16.00    ,    1.245    
   18.00    ,    1.260    
   19.00    ,    1.273    
   20.00    ,    1.285    
   21.00    ,    1.315    
   22.00    ,    1.346    
   24.00    ,    1.395    

Alpha, Cm
  -16.00    ,    .3474    
  -8.000    ,    .2229    
  -6.000    ,    .1839    
  -4.000    ,    .1468    
  -2.000    ,    .1106    
    .000    ,    .7646E-01
   2.000    ,    .4339E-01
   4.000    ,    .1116E-01
   8.000    ,   -.5685E-01
   9.000    ,   -.7677E-01
   10.00    ,   -.9720E-01
   12.00    ,   -.1467    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

Alpha, Cyb
  -16.00    ,   -.1241E-01
  -8.000    ,   -.1241E-01
  -6.000    ,   -.1241E-01
  -4.000    ,   -.1241E-01
  -2.000    ,   -.1241E-01
    .000    ,   -.1241E-01
   2.000    ,   -.1241E-01
   4.000    ,   -.1241E-01
   8.000    ,   -.1241E-01
   9.000    ,   -.1241E-01
   10.00    ,   -.1241E-01
   12.00    ,   -.1241E-01
   14.00    ,   -.1241E-01
   16.00    ,   -.1241E-01
   18.00    ,   -.1241E-01
   19.00    ,   -.1241E-01
   20.00    ,   -.1241E-01
   21.00    ,   -.1241E-01
   22.00    ,   -.1241E-01
   24.00    ,   -.1241E-01

Alpha, Cnb
  -16.00    ,    .9143E-03
  -8.000    ,    .9143E-03
  -6.000    ,    .9143E-03
  -4.000    ,    .9143E-03
  -2.000    ,    .9143E-03
    .000    ,    .9143E-03
   2.000    ,    .9143E-03
   4.000    ,    .9143E-03
   8.000    ,    .9143E-03
   9.000    ,    .9143E-03
   10.00    ,    .9143E-03
   12.00    ,    .9143E-03
   14.00    ,    .9143E-03
   16.00    ,    .9143E-03
   18.00    ,    .9143E-03
   19.00    ,    .9143E-03
   20.00    ,    .9143E-03
   21.00    ,    .9143E-03
   22.00    ,    .9143E-03
   24.00    ,    .9143E-03

Alpha, Clb
  -16.00    ,   -.3180E-02
  -8.000    ,   -.2822E-02
  -6.000    ,   -.2724E-02
  -4.000    ,   -.2625E-02
  -2.000    ,   -.2524E-02
    .000    ,   -.2422E-02
   2.000    ,   -.2319E-02
   4.000    ,   -.2215E-02
   8.000    ,   -.2011E-02
   9.000    ,   -.1963E-02
   10.00    ,   -.1915E-02
   12.00    ,   -.1823E-02
   14.00    ,   -.1746E-02
   16.00    ,   -.1677E-02
   18.00    ,   -.1593E-02
   19.00    ,   -.1551E-02
   20.00    ,   -.1508E-02
   21.00    ,   -.1463E-02
   22.00    ,   -.1416E-02
   24.00    ,   -.1326E-02

Alpha, Q_Qinf
  -16.00    ,    1.000    
  -8.000    ,    1.000    
  -6.000    ,    1.000    
  -4.000    ,    1.000    
  -2.000    ,    1.000    
    .000    ,    1.000    
   2.000    ,    1.000    
   4.000    ,    1.000    
   8.000    ,    1.000    
   9.000    ,    1.000    
   10.00    ,    1.000    
   12.00    ,    1.000    
   14.00    ,    1.000    
   16.00    ,    1.000    
   18.00    ,    1.000    
   19.00    ,    1.000    
   20.00    ,    1.000    
   21.00    ,    1.000    
   22.00    ,    1.000    
   24.00    ,    .9787    

Alpha, Epslon
